,Date/Time,Air Moisture,Air Temperature,Soil Moisture,Soil Temperature,Unnamed: 5,pole_no
1,2019.12.30 23:59:31,88.0,5.5,69.96,6.125,33.2,4
8,2019.12.30 23:54:31,88.0,5.5,69.17,5.938,33.2,4
15,2019.12.30 23:49:30,88.0,5.5,69.17,6.125,33.2,4
22,2019.12.30 23:44:25,88.0,5.6,69.17,6.125,33.2,4
28,2019.12.30 23:39:23,88.0,5.7,69.17,6.063,33.2,4
35,2019.12.30 23:34:23,88.0,5.8,64.42699999999999,7.688,33.2,4
42,2019.12.30 23:29:23,88.0,5.9,68.775,6.188,33.2,4
49,2019.12.30 23:24:23,88.0,6.3,64.42699999999999,6.0,33.2,4
56,2019.12.30 23:19:23,88.0,6.6,66.798,6.0,33.2,4
63,2019.12.30 23:14:20,88.0,6.8,67.984,6.5,33.2,4
70,2019.12.30 23:09:21,88.0,6.8,70.35600000000001,6.438,33.2,4
77,2019.12.30 23:04:20,88.0,6.5,65.217,6.5,33.2,4
84,2019.12.30 22:59:19,88.0,6.5,72.332,5.875,33.2,4
91,2019.12.30 22:54:18,88.0,6.6,66.008,6.688,33.2,4
98,2019.12.30 22:49:17,88.0,6.4,71.542,6.563,33.2,4
105,2019.12.30 22:44:16,88.0,6.7,70.751,6.438,33.2,4
112,2019.12.30 22:39:17,88.0,6.9,64.42699999999999,6.563,33.2,4
119,2019.12.30 22:34:16,88.0,7.0,66.798,6.563,33.2,4
125,2019.12.30 22:29:15,88.0,6.8,70.751,6.688,33.2,4
132,2019.12.30 22:24:14,88.0,6.8,68.775,6.75,33.2,4
139,2019.12.30 22:19:14,88.0,7.2,69.17,4.75,33.2,4
145,2019.12.30 22:14:13,88.0,7.0,67.194,6.25,33.2,4
152,2019.12.30 22:09:12,88.0,7.1,67.589,6.875,33.2,4
158,2019.12.30 22:04:11,88.0,7.0,66.403,5.5,33.2,4
165,2019.12.30 21:59:10,88.0,7.2,72.332,6.813,33.2,4
172,2019.12.30 21:54:10,88.0,7.2,70.751,7.25,33.2,4
179,2019.12.30 21:49:09,88.0,7.2,68.37899999999999,5.438,33.2,4
186,2019.12.30 21:44:09,88.0,7.2,66.008,6.375,33.2,4
193,2019.12.30 21:39:08,88.0,7.5,72.727,5.313,33.2,4
200,2019.12.30 21:34:07,88.0,7.4,69.96,7.25,33.2,4
206,2019.12.30 21:29:07,88.0,7.5,69.565,5.938,33.2,4
213,2019.12.30 21:24:06,88.0,7.5,71.146,7.0,33.2,4
220,2019.12.30 21:19:06,88.0,7.5,66.798,6.875,33.2,4
226,2019.12.30 21:14:04,88.0,7.5,68.37899999999999,7.0,33.2,4
233,2019.12.30 21:09:04,88.0,7.4,67.194,6.438,33.2,4
240,2019.12.30 21:04:03,88.0,7.6,67.194,6.75,33.2,4
247,2019.12.30 20:59:04,88.0,7.7,69.565,6.875,33.2,4
253,2019.12.30 20:54:02,88.0,7.5,69.96,4.938,33.2,4
260,2019.12.30 20:49:01,88.0,7.8,69.17,6.0,33.2,4
267,2019.12.30 20:44:01,88.0,7.4,68.775,6.563,33.2,4
274,2019.12.30 20:39:01,88.0,7.3,66.008,7.75,33.2,4
280,2019.12.30 20:34:01,88.0,7.5,67.194,8.125,33.2,4
286,2019.12.30 20:28:59,88.0,7.5,68.37899999999999,9.062999999999999,33.2,4
293,2019.12.30 20:23:58,88.0,7.6,67.589,6.563,33.2,4
300,2019.12.30 20:18:59,88.0,7.5,69.96,5.563,33.2,4
307,2019.12.30 20:13:58,88.0,7.4,68.775,6.563,33.2,4
314,2019.12.30 20:08:57,88.0,7.3,67.589,7.25,33.2,4
321,2019.12.30 20:03:56,88.0,7.6,68.775,7.0,33.2,4
328,2019.12.30 19:58:56,88.0,7.8,67.194,7.063,33.2,4
334,2019.12.30 19:53:55,88.0,7.7,67.589,7.313,33.2,4
341,2019.12.30 19:48:55,88.0,8.2,66.008,7.25,33.2,4
348,2019.12.30 19:43:53,88.0,8.0,64.42699999999999,7.375,33.2,4
355,2019.12.30 19:38:52,88.0,8.5,67.589,7.5,33.2,4
362,2019.12.30 19:33:52,88.0,8.8,72.727,7.563,33.2,4
369,2019.12.30 19:28:52,88.0,8.4,67.194,7.625,33.2,4
376,2019.12.30 19:23:51,88.0,8.2,67.589,7.438,33.2,4
383,2019.12.30 19:18:51,88.0,8.5,69.17,7.75,33.2,4
390,2019.12.30 19:13:50,88.0,8.3,73.123,7.625,33.2,4
397,2019.12.30 19:08:48,88.0,8.5,69.17,7.938,33.2,4
404,2019.12.30 19:03:49,88.0,8.8,68.775,7.813,33.2,4
411,2019.12.30 18:58:48,88.0,9.7,69.565,8.062999999999999,33.2,4
418,2019.12.30 18:53:48,89.0,11.4,71.542,8.062999999999999,33.2,4
425,2019.12.30 18:48:47,89.0,11.8,68.775,8.125,33.2,4
432,2019.12.30 18:43:45,89.0,11.7,69.96,8.25,33.2,4
439,2019.12.30 18:38:45,88.0,10.7,66.403,8.25,33.2,4
446,2019.12.30 18:33:45,88.0,10.9,67.194,8.437999999999999,33.2,4
453,2019.12.30 18:28:44,89.0,11.1,69.565,8.375,33.2,4
460,2019.12.30 18:23:42,89.0,11.1,66.798,8.562999999999999,33.2,4
467,2019.12.30 18:18:41,89.0,11.0,69.17,8.687999999999999,33.2,4
474,2019.12.30 18:13:41,89.0,11.2,68.775,8.812999999999999,33.2,4
481,2019.12.30 18:08:40,89.0,11.2,71.542,8.562999999999999,33.2,4
488,2019.12.30 18:03:40,89.0,11.2,64.42699999999999,8.875,33.2,4
495,2019.12.30 17:58:39,89.0,11.4,68.775,8.75,33.2,4
502,2019.12.30 17:53:38,89.0,11.5,66.008,8.875,33.2,4
507,2019.12.30 17:48:38,89.0,11.5,68.37899999999999,9.125,33.2,4
514,2019.12.30 17:43:37,89.0,11.8,69.96,9.125,33.2,4
521,2019.12.30 17:38:37,90.0,12.1,69.96,9.187999999999999,33.2,4
528,2019.12.30 17:33:36,90.0,12.4,71.146,9.437999999999999,33.2,4
535,2019.12.30 17:28:35,90.0,12.5,68.37899999999999,9.375,33.2,4
542,2019.12.30 17:23:35,90.0,12.8,72.332,9.562999999999999,33.2,4
549,2019.12.30 17:18:34,91.0,13.3,72.332,9.687999999999999,33.2,4
556,2019.12.30 17:13:34,91.0,13.6,67.194,9.625,33.2,4
562,2019.12.30 17:08:33,89.0,14.2,64.42699999999999,9.937999999999999,33.2,4
569,2019.12.30 17:03:32,84.0,15.0,69.96,9.875,33.2,4
576,2019.12.30 16:58:32,77.0,15.5,69.96,10.125,33.2,4
583,2019.12.30 16:53:31,70.0,16.4,69.17,10.062999999999999,33.2,4
590,2019.12.30 16:48:28,63.0,18.1,69.17,10.312999999999999,33.2,4
598,2019.12.30 16:43:27,60.0,18.3,66.403,10.312999999999999,33.2,4
605,2019.12.30 16:38:25,61.0,17.5,68.37899999999999,10.625,33.2,4
612,2019.12.30 16:33:24,59.0,18.1,65.217,10.625,33.2,4
618,2019.12.30 16:28:25,54.0,19.3,68.37899999999999,10.75,33.2,4
625,2019.12.30 16:23:24,56.0,18.9,71.542,10.812999999999999,33.2,4
632,2019.12.30 16:18:23,54.0,19.3,69.96,10.937999999999999,33.2,4
639,2019.12.30 16:13:22,53.0,19.5,68.37899999999999,11.0,33.2,4
645,2019.12.30 16:08:21,47.0,20.1,68.37899999999999,11.062999999999999,33.2,4
652,2019.12.30 16:03:21,49.0,20.8,66.798,11.0,33.2,4
658,2019.12.30 15:58:21,46.0,21.4,69.96,11.25,33.2,4
664,2019.12.30 15:53:20,44.0,21.1,67.589,11.062999999999999,33.2,4
669,2019.12.30 15:48:19,47.0,21.2,64.822,11.25,33.2,4
676,2019.12.30 15:43:18,48.0,21.3,71.542,11.125,33.2,4
683,2019.12.30 15:38:18,33.0,24.3,67.194,11.375,33.2,4
690,2019.12.30 15:33:17,37.0,24.7,67.984,11.437999999999999,33.2,4
697,2019.12.30 15:28:17,33.0,25.8,69.96,11.437999999999999,33.2,4
704,2019.12.30 15:23:15,34.0,24.8,67.194,11.375,33.2,4
711,2019.12.30 15:18:14,40.0,22.8,70.751,11.312999999999999,33.2,4
718,2019.12.30 15:13:15,40.0,23.2,68.37899999999999,11.562999999999999,33.2,4
725,2019.12.30 15:08:13,40.0,22.9,71.146,11.437999999999999,33.2,4
732,2019.12.30 15:03:12,42.0,21.6,66.403,11.625,33.2,4
739,2019.12.30 14:58:11,47.0,20.6,68.775,11.625,33.2,4
746,2019.12.30 14:53:10,46.0,20.2,71.542,11.5,33.2,4
753,2019.12.30 14:48:10,46.0,20.2,71.542,11.5,33.2,4
760,2019.12.30 14:43:10,37.0,24.3,69.96,11.687999999999999,33.2,4
766,2019.12.30 14:38:09,53.0,18.7,67.984,11.625,33.2,4
773,2019.12.30 14:33:08,37.0,23.0,67.984,11.562999999999999,33.2,4
780,2019.12.30 14:28:08,31.0,25.0,68.37899999999999,11.687999999999999,33.2,4
787,2019.12.30 14:23:06,34.0,24.0,65.217,11.562999999999999,33.2,4
794,2019.12.30 14:18:06,29.0,25.3,68.37899999999999,11.687999999999999,33.2,4
801,2019.12.30 14:13:05,35.0,24.9,66.798,11.687999999999999,33.2,4
808,2019.12.30 14:08:04,35.0,24.2,69.17,11.625,33.2,4
814,2019.12.30 14:03:04,30.0,24.9,70.751,11.687999999999999,33.2,4
820,2019.12.30 13:58:04,36.0,22.8,66.403,11.687999999999999,33.2,4
826,2019.12.30 13:53:03,32.0,24.5,66.403,11.812999999999999,33.2,4
833,2019.12.30 13:48:03,36.0,22.8,66.798,11.687999999999999,33.2,4
840,2019.12.30 13:43:01,30.0,24.8,66.798,11.687999999999999,33.2,4
847,2019.12.30 13:38:00,30.0,26.7,71.542,11.5,33.2,4
853,2019.12.30 13:33:00,33.0,26.2,66.798,11.812999999999999,33.2,4
860,2019.12.30 13:28:00,33.0,25.0,69.96,11.625,33.2,4
867,2019.12.30 13:22:59,27.0,25.9,70.751,11.812999999999999,33.2,4
874,2019.12.30 13:17:57,21.0,29.9,66.798,11.75,33.2,4
881,2019.12.30 13:12:57,26.0,28.5,64.822,11.875,33.2,4
888,2019.12.30 13:07:56,32.0,23.4,67.984,12.0,33.2,4
895,2019.12.30 13:02:56,29.0,26.7,71.542,11.937999999999999,33.2,4
902,2019.12.30 12:57:56,27.0,27.9,67.984,12.0,33.2,4
909,2019.12.30 12:52:54,29.0,25.4,68.37899999999999,12.062999999999999,33.2,4
916,2019.12.30 12:47:54,40.0,23.3,68.37899999999999,12.125,33.2,4
922,2019.12.30 12:42:54,27.0,27.9,69.17,12.125,33.2,4
929,2019.12.30 12:37:53,31.0,25.0,69.565,12.25,33.2,4
936,2019.12.30 12:32:52,32.0,25.6,67.984,12.25,33.2,4
943,2019.12.30 12:27:50,26.0,27.9,69.17,12.125,33.2,4
950,2019.12.30 12:22:50,30.0,26.9,67.194,11.875,33.2,4
957,2019.12.30 12:17:50,33.0,24.5,67.589,11.937999999999999,33.2,4
964,2019.12.30 12:12:49,36.0,23.0,68.37899999999999,11.812999999999999,33.2,4
971,2019.12.30 12:07:48,21.0,31.7,71.542,11.562999999999999,33.2,4
978,2019.12.30 12:02:48,22.0,30.3,69.17,11.187999999999999,33.2,4
985,2019.12.30 11:57:46,24.0,30.4,71.146,11.187999999999999,33.2,4
991,2019.12.30 11:52:45,23.0,31.1,72.332,10.937999999999999,33.2,4
998,2019.12.30 11:47:46,23.0,29.9,70.35600000000001,10.687999999999999,33.2,4
1005,2019.12.30 11:42:45,28.0,29.4,72.332,10.187999999999999,33.2,4
1011,2019.12.30 11:37:43,30.0,27.9,70.35600000000001,10.125,33.2,4
1018,2019.12.30 11:32:43,31.0,27.0,66.403,9.75,33.2,4
