,Date/Time,Air Moisture,Air Temperature,Soil Moisture,Soil Temperature,Unnamed: 5,pole_no
7480,2019.12.21 10:28:40,25.0,31.2,56.566,6.875,33.2,7
7494,2019.12.21 10:18:39,31.0,28.7,55.051,6.688,33.2,7
7508,2019.12.21 10:08:38,33.0,28.8,60.101000000000006,6.563,33.2,7
7542,2019.12.21 09:43:40,41.0,25.1,53.535,6.125,33.2,7
7660,2019.12.21 08:14:26,89.0,11.8,56.566,5.188,33.2,7
7674,2019.12.21 08:04:24,88.0,10.0,56.566,5.125,33.2,7
7681,2019.12.21 07:59:24,88.0,8.5,57.071000000000005,5.125,33.2,7
7701,2019.12.20 16:46:10,90.0,12.5,55.556000000000004,11.25,33.2,7
7708,2019.12.20 16:41:10,90.0,12.9,52.525,11.312999999999999,33.2,7
7715,2019.12.20 16:36:09,91.0,13.2,54.545,11.375,33.2,7
7722,2019.12.20 16:31:08,91.0,13.3,53.03,11.5,33.2,7
7735,2019.12.20 16:21:07,91.0,13.8,57.576,11.5,33.2,7
7741,2019.12.20 16:16:07,91.0,13.9,54.04,11.625,33.2,7
7748,2019.12.20 16:11:06,91.0,14.0,55.051,11.625,33.2,7
7755,2019.12.20 16:06:05,91.0,14.3,57.576,11.687999999999999,33.2,7
7762,2019.12.20 16:01:05,73.0,16.4,54.545,23.375,33.2,7
7769,2019.12.20 15:56:05,64.0,17.9,57.576,11.75,33.2,7
7776,2019.12.20 15:51:04,60.0,17.9,56.18600000000001,11.75,33.2,7
7783,2019.12.20 15:46:04,57.0,18.0,52.02,11.812999999999999,33.2,7
7790,2019.12.20 15:41:04,44.0,21.7,54.545,23.625,33.2,7
7797,2019.12.20 15:36:03,41.0,23.5,55.051,11.875,33.2,7
7809,2019.12.20 15:26:02,36.0,23.9,57.576,23.875,33.2,7
7815,2019.12.20 15:21:02,36.0,23.3,57.576,11.875,33.2,7
7822,2019.12.20 15:16:01,35.0,23.9,56.566,12.0,33.2,7
7828,2019.12.20 15:11:01,43.0,23.4,57.576,11.937999999999999,33.2,7
7834,2019.12.20 15:06:01,44.0,21.4,57.576,12.0,33.2,7
7847,2019.12.20 14:56:00,57.0,18.8,57.701,12.0,33.2,7
7854,2019.12.20 14:51:00,54.0,19.6,57.576,12.0,33.2,7
7861,2019.12.20 14:45:59,55.0,18.9,52.02,12.062999999999999,33.2,7
7868,2019.12.20 14:40:59,47.0,20.3,60.606,12.062999999999999,33.2,7
7875,2019.12.20 14:35:58,49.0,20.9,57.071000000000005,12.0,33.2,7
7882,2019.12.20 14:30:58,45.0,21.2,57.576,12.0,33.2,7
7889,2019.12.20 14:25:58,42.0,21.6,57.576,12.062999999999999,33.2,7
7903,2019.12.20 14:15:57,43.0,22.4,51.01,12.0,33.2,7
7910,2019.12.20 14:10:56,40.0,22.7,57.576,11.937999999999999,33.2,7
7917,2019.12.20 14:05:56,30.0,26.4,54.04,11.875,33.2,7
7924,2019.12.20 14:00:55,36.0,23.5,55.556000000000004,11.812999999999999,33.2,7
7931,2019.12.20 13:55:55,23.0,28.9,54.545,11.687999999999999,33.2,7
7938,2019.12.20 13:50:55,24.0,30.7,54.545,11.625,33.2,7
7945,2019.12.20 13:45:54,22.0,30.9,57.071000000000005,11.625,33.2,7
7952,2019.12.20 13:40:54,26.0,29.0,55.556000000000004,11.562999999999999,33.2,7
7959,2019.12.20 13:35:54,26.0,29.2,57.071000000000005,11.437999999999999,33.2,7
7966,2019.12.20 13:30:54,29.0,29.1,52.02,11.375,33.2,7
7972,2019.12.20 13:25:53,30.0,28.4,57.071000000000005,11.25,33.2,7
7979,2019.12.20 13:20:53,24.0,31.4,52.02,22.375,33.2,7
7986,2019.12.20 13:15:53,27.0,31.3,57.576,11.062999999999999,33.2,7
8000,2019.12.20 13:05:51,32.0,27.0,54.545,10.687999999999999,33.2,7
8006,2019.12.20 13:00:51,31.0,28.3,53.535,10.5,33.2,7
8013,2019.12.20 12:55:51,33.0,28.6,55.051,10.375,33.2,7
8020,2019.12.20 12:50:51,42.0,26.2,55.051,10.187999999999999,33.2,7
8027,2019.12.20 12:45:50,48.0,24.3,57.071000000000005,10.062999999999999,33.2,7
8034,2019.12.20 12:40:50,55.0,22.2,53.03,9.937999999999999,33.2,7
8041,2019.12.20 12:35:49,50.0,23.0,54.545,9.812999999999999,33.2,7
8048,2019.12.20 12:30:49,55.0,21.2,53.535,9.687999999999999,33.2,7
8062,2019.12.20 12:30:03,69.0,19.4,52.02,9.5,33.2,7
8069,2019.12.20 12:29:50,91.0,16.7,52.02,9.437999999999999,33.2,7
8082,2019.12.20 12:29:33,91.0,15.6,52.525,9.312999999999999,33.2,7
8089,2019.12.20 12:29:22,91.0,15.2,56.06100000000001,9.312999999999999,33.2,7
8106,2019.12.16 21:34:51,88.0,7.8,57.576,9.125,33.2,7
8114,2019.12.16 21:29:50,88.0,7.9,64.896,18.5,33.2,7
8147,2019.12.16 21:08:53,88.0,7.7,62.626000000000005,9.375,33.2,7
8154,2019.12.16 21:03:53,88.0,8.3,61.111000000000004,18.875,33.2,7
8162,2019.12.16 20:58:53,88.0,8.3,60.606,9.5,33.2,7
8178,2019.12.16 20:48:51,88.0,8.4,64.646,9.562999999999999,33.2,7
8194,2019.12.16 20:38:51,88.0,9.0,61.111000000000004,9.562999999999999,33.2,7
8202,2019.12.16 20:33:50,88.0,9.1,61.61600000000001,9.687999999999999,33.2,7
8218,2019.12.16 20:23:49,88.0,10.4,61.61600000000001,9.812999999999999,33.2,7
8234,2019.12.16 20:13:48,88.0,10.3,60.606,9.875,33.2,7
8289,2019.12.16 19:38:46,89.0,11.2,60.606,10.25,33.2,7
8297,2019.12.16 19:33:45,89.0,11.2,63.636,10.312999999999999,33.2,7
8305,2019.12.16 19:28:45,89.0,11.1,60.731,10.25,33.2,7
8313,2019.12.16 19:23:44,89.0,11.0,62.121,10.437999999999999,33.2,7
8329,2019.12.16 19:13:44,89.0,11.2,62.121,10.5,33.2,7
8337,2019.12.16 19:08:43,89.0,11.5,57.071000000000005,10.5,33.2,7
8377,2019.12.16 18:43:41,90.0,12.4,61.111000000000004,10.875,33.2,7
8385,2019.12.16 18:38:41,90.0,12.5,60.101000000000006,10.937999999999999,33.2,7
8393,2019.12.16 18:33:41,90.0,12.7,58.081,11.0,33.2,7
8425,2019.12.16 18:13:39,91.0,13.2,57.071000000000005,11.187999999999999,33.2,7
8441,2019.12.16 18:03:39,90.0,13.6,59.091,11.375,33.2,7
8465,2019.12.16 17:48:37,91.0,13.7,58.081,23.125,33.2,7
8489,2019.12.16 17:33:36,87.0,14.6,60.606,11.812999999999999,33.2,7
8497,2019.12.16 17:28:36,83.0,14.6,58.081,11.875,33.2,7
8505,2019.12.16 17:23:35,68.0,15.7,60.606,11.937999999999999,33.2,7
8513,2019.12.16 17:18:35,60.0,17.2,55.051,12.0,33.2,7
8521,2019.12.16 17:13:34,61.0,17.2,58.081,12.0,33.2,7
8529,2019.12.16 17:08:34,59.0,17.9,61.111000000000004,12.125,33.2,7
8537,2019.12.16 17:03:33,66.0,16.9,69.697,12.187999999999999,33.2,7
8545,2019.12.16 16:58:33,60.0,17.9,61.111000000000004,12.312999999999999,33.2,7
8553,2019.12.16 16:53:33,60.0,18.4,60.101000000000006,12.375,33.2,7
8561,2019.12.16 16:48:32,61.0,18.6,59.596000000000004,12.375,33.2,7
8568,2019.12.16 16:43:32,57.0,19.5,57.071000000000005,12.437999999999999,33.2,7
8576,2019.12.16 16:38:32,50.0,20.7,59.091,12.562999999999999,33.2,7
8584,2019.12.16 16:33:31,48.0,20.9,62.626000000000005,12.562999999999999,33.2,7
8591,2019.12.16 16:28:31,50.0,21.4,60.606,12.562999999999999,33.2,7
8607,2019.12.16 16:18:30,48.0,22.5,61.61600000000001,12.812999999999999,33.2,7
8615,2019.12.16 16:13:30,46.0,22.9,58.081,12.812999999999999,33.2,7
8631,2019.12.16 16:03:29,44.0,23.4,61.61600000000001,12.937999999999999,33.2,7
8639,2019.12.16 15:58:28,44.0,22.8,56.06100000000001,13.0,33.2,7
8647,2019.12.16 15:53:28,44.0,23.1,58.081,13.062999999999999,33.2,7
8655,2019.12.16 15:48:28,43.0,23.2,57.576,26.125,33.2,7
8663,2019.12.16 15:43:27,42.0,23.2,59.596000000000004,13.125,33.2,7
8670,2019.12.16 15:38:27,41.0,23.8,61.111000000000004,13.187999999999999,33.2,7
8678,2019.12.16 15:33:27,39.0,24.3,56.566,26.375,33.2,7
8686,2019.12.16 15:28:27,40.0,23.8,57.576,13.312999999999999,33.2,7
8693,2019.12.16 15:23:26,37.0,24.9,57.576,13.375,33.2,7
8701,2019.12.16 15:18:26,36.0,25.3,55.051,13.437999999999999,33.2,7
8709,2019.12.16 15:13:25,34.0,25.9,57.071000000000005,13.437999999999999,33.2,7
8717,2019.12.16 15:08:25,32.0,25.7,60.101000000000006,13.562999999999999,33.2,7
8725,2019.12.16 15:03:25,36.0,24.7,61.61600000000001,13.562999999999999,33.2,7
8733,2019.12.16 14:58:24,34.0,25.3,59.596000000000004,13.5,33.2,7
8741,2019.12.16 14:53:24,38.0,24.4,61.61600000000001,13.562999999999999,33.2,7
8749,2019.12.16 14:48:24,40.0,23.7,55.051,13.375,33.2,7
8757,2019.12.16 14:43:24,36.0,24.3,58.586000000000006,13.375,33.2,7
8765,2019.12.16 14:38:23,37.0,24.3,58.081,13.625,33.2,7
8773,2019.12.16 14:33:23,34.0,24.5,56.566,13.625,33.2,7
8781,2019.12.16 14:28:22,28.0,25.3,59.596000000000004,13.625,33.2,7
8789,2019.12.16 14:23:22,32.0,25.4,58.081,13.562999999999999,33.2,7
8797,2019.12.16 14:18:22,27.0,26.3,57.576,13.562999999999999,33.2,7
8805,2019.12.16 14:13:21,26.0,26.2,58.081,13.5,33.2,7
8813,2019.12.16 14:08:21,34.0,24.8,60.101000000000006,13.375,33.2,7
8821,2019.12.16 14:03:20,29.0,25.9,61.61600000000001,13.312999999999999,33.2,7
8828,2019.12.16 13:58:20,31.0,24.9,58.586000000000006,13.187999999999999,33.2,7
8836,2019.12.16 13:53:20,41.0,23.8,61.111000000000004,13.125,33.2,7
8844,2019.12.16 13:48:19,31.0,25.3,58.586000000000006,13.125,33.2,7
8852,2019.12.16 13:43:19,35.0,25.0,56.566,13.062999999999999,33.2,7
8860,2019.12.16 13:38:19,34.0,25.1,62.626000000000005,13.062999999999999,33.2,7
