,Date/Time,Air Moisture,Air Temperature,Soil Moisture,Soil Temperature,Unnamed: 5,pole_no
4,2019.12.30 23:57:32,88.0,5.6,74.131,6.063,33.2,6
10,2019.12.30 23:52:32,88.0,5.5,77.22,6.25,33.2,6
18,2019.12.30 23:47:31,88.0,5.5,74.903,6.25,33.2,6
24,2019.12.30 23:42:26,88.0,5.6,80.309,6.25,33.2,6
31,2019.12.30 23:37:24,88.0,5.8,78.378,6.188,33.2,6
38,2019.12.30 23:32:24,88.0,5.9,79.53699999999999,6.438,33.2,6
45,2019.12.30 23:27:24,88.0,6.0,76.062,6.438,33.2,6
51,2019.12.30 23:22:23,88.0,6.4,79.15100000000001,6.375,33.2,6
59,2019.12.30 23:17:22,88.0,6.6,79.53699999999999,6.625,33.2,6
66,2019.12.30 23:12:20,88.0,6.8,77.60600000000001,6.563,33.2,6
73,2019.12.30 23:07:22,88.0,6.6,75.676,6.5,33.2,6
80,2019.12.30 23:02:19,88.0,6.5,76.44800000000001,6.563,33.2,6
87,2019.12.30 22:57:18,88.0,6.4,73.359,6.563,33.2,6
93,2019.12.30 22:52:18,88.0,6.4,72.587,6.688,33.2,6
100,2019.12.30 22:47:17,88.0,6.5,76.062,6.563,33.2,6
108,2019.12.30 22:42:16,88.0,6.9,77.60600000000001,6.5,33.2,6
115,2019.12.30 22:37:15,88.0,6.9,72.587,6.813,33.2,6
122,2019.12.30 22:32:15,88.0,7.0,79.53699999999999,6.875,33.2,6
128,2019.12.30 22:27:14,88.0,6.8,81.081,6.813,33.2,6
135,2019.12.30 22:22:13,88.0,7.0,74.903,6.625,33.2,6
141,2019.12.30 22:17:12,88.0,7.2,77.22,6.688,33.2,6
148,2019.12.30 22:12:12,88.0,7.2,77.60600000000001,6.938,33.2,6
154,2019.12.30 22:07:11,88.0,7.2,79.923,6.813,33.2,6
161,2019.12.30 22:02:10,88.0,7.1,79.15100000000001,6.875,33.2,6
168,2019.12.30 21:57:09,88.0,7.2,73.745,6.688,33.2,6
175,2019.12.30 21:52:09,88.0,7.2,80.695,6.938,33.2,6
