,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
4,2019.12.12 16:16:12,91,13.6,51.807,12.875,33.2,3
13,2019.12.12 16:11:11,91,14.1,46.988,12.75,33.2,3
27,2019.12.12 16:01:10,91,13.5,46.185,12.938,33.2,3
35,2019.12.12 15:56:10,91,13.6,48.594,12.938,33.2,3
45,2019.12.12 15:41:08,91,14,48.996,13,33.2,3
53,2019.12.12 15:36:06,91,15.1,51.004,13,33.2,3
62,2019.12.12 15:31:05,91,14.4,46.185,13,33.2,3
71,2019.12.12 15:26:05,91,14.7,63.052,13.063,33.2,3
80,2019.12.12 15:21:04,91,15,68.675,12.938,33.2,3
89,2019.12.12 15:16:03,91,14.6,47.791,13.063,33.2,3
98,2019.12.12 15:11:03,91,15.7,47.791,13.188,33.2,3
107,2019.12.12 15:06:02,91,14.6,47.791,12.938,33.2,3
116,2019.12.12 15:01:02,92,16.6,51.004,13.063,33.2,3
125,2019.12.12 14:56:01,92,17.1,50.201,13,33.2,3
133,2019.12.12 14:51:00,92,17.1,45.382,12.875,33.2,3
142,2019.12.12 14:46:00,92,16.9,53.012,13.063,33.2,3
151,2019.12.12 14:40:59,91,17.3,55.422,13.125,33.2,3
160,2019.12.12 14:35:59,88,17.4,66.667,13.063,33.2,3
169,2019.12.12 14:30:58,85,17.7,64.659,13.063,33.2,3
178,2019.12.12 14:25:57,83,17.7,51.406,13.063,33.2,3
187,2019.12.12 14:20:57,83,17.8,47.791,13.063,33.2,3
196,2019.12.12 14:15:56,84,17.7,51.004,12.938,33.2,3
205,2019.12.12 14:10:55,82,17.7,51.406,13,33.2,3
214,2019.12.12 14:05:54,83,17.6,67.871,12.938,33.2,3
222,2019.12.12 14:00:53,86,17.6,51.004,12.938,33.2,3
231,2019.12.12 13:55:53,86,17.3,50.201,12.813,33.2,3
240,2019.12.12 13:50:52,88,16.9,63.855,12.938,33.2,3
249,2019.12.12 13:45:51,85,17.6,51.807,12.875,33.2,3
258,2019.12.12 13:40:51,84,17.3,46.988,12.625,33.2,3
267,2019.12.12 13:35:50,85,16.7,51.406,12.688,33.2,3
276,2019.12.12 13:30:50,90,16.6,47.791,12.625,33.2,3
284,2019.12.12 13:25:49,81,17.3,54.217,12.625,33.2,3
292,2019.12.12 13:20:48,88,17.3,47.791,12.75,33.2,3
301,2019.12.12 13:15:48,82,17.7,48.594,12.563,33.2,3
310,2019.12.12 13:10:47,84,18,47.791,12.625,33.2,3
319,2019.12.12 13:05:46,89,17.5,46.988,12.313,33.2,3
328,2019.12.12 13:00:46,90,17,51.004,12.563,33.2,3
337,2019.12.12 12:55:45,81,17.7,50.602,12.313,33.2,3
346,2019.12.12 12:50:44,80,18,49.799,12.438,33.2,3
355,2019.12.12 12:45:43,80,17.9,51.807,12.313,33.2,3
364,2019.12.12 12:40:43,79,17.2,53.012,12.188,33.2,3
372,2019.12.12 12:35:42,80,17.2,52.209,12,33.2,3
381,2019.12.12 12:30:41,79,17.4,52.61,11.938,33.2,3
390,2019.12.12 12:25:41,82,17.1,57.028,12,33.2,3
399,2019.12.12 12:20:41,85,17.2,49.398,11.813,33.2,3
408,2019.12.12 12:15:40,89,16.6,49.398,11.625,33.2,3
417,2019.12.12 12:10:39,89,16.5,45.382,11.625,33.2,3
426,2019.12.12 12:05:38,88,16.8,46.185,11.5,33.2,3
434,2019.12.12 12:00:38,92,16.2,49.799,11.5,33.2,3
443,2019.12.12 11:55:37,91,15.5,46.988,11.5,33.2,3
452,2019.12.12 11:50:37,91,15.2,50.602,11.375,33.2,3
461,2019.12.12 11:45:36,91,14.7,47.791,11.5,33.2,3
470,2019.12.12 11:40:35,91,14.4,48.594,11.438,33.2,3
479,2019.12.12 11:35:35,91,14.2,54.618,11.438,33.2,3
488,2019.12.12 11:30:34,91,14.3,52.209,11.188,33.2,3
497,2019.12.12 11:25:33,91,14.1,55.823,11.125,33.2,3
506,2019.12.12 11:20:33,91,14.1,48.594,11.313,33.2,3
515,2019.12.12 11:15:32,91,14.3,64.257,11.313,33.2,3
522,2019.12.12 11:10:32,91,14.6,50.201,11.25,33.2,3
531,2019.12.12 11:05:31,91,13.6,52.61,11.313,33.2,3
540,2019.12.12 11:00:30,91,13.6,46.988,11.188,33.2,3
549,2019.12.12 10:55:29,91,13.7,67.068,11.188,33.2,3
558,2019.12.12 10:50:29,91,13.5,46.988,11.188,33.2,3
567,2019.12.12 10:45:28,90,12.9,46.988,11.375,33.2,3
576,2019.12.12 10:40:28,91,13,51.807,11.313,33.2,3
584,2019.12.12 10:35:27,91,13.2,49.398,11.188,33.2,3
593,2019.12.12 10:30:27,91,13.3,50.201,11.125,33.2,3
602,2019.12.12 10:25:26,91,13,49.799,11.188,33.2,3
610,2019.12.12 10:20:26,90,12.8,49.398,11,33.2,3
619,2019.12.12 10:15:25,91,14,49.398,11.188,33.2,3
628,2019.12.12 10:10:24,91,14.3,67.47,10.875,33.2,3
636,2019.12.12 10:05:23,91,14.2,51.004,11.063,33.2,3
645,2019.12.12 10:00:23,91,13.9,52.209,11,33.2,3
654,2019.12.12 09:55:22,91,13.9,49.398,10.938,33.2,3
663,2019.12.12 09:50:22,91,14.2,50.602,10.75,33.2,3
672,2019.12.12 09:45:21,91,14.4,50.201,10.875,33.2,3
681,2019.12.12 09:40:20,91,13.8,53.414,10.688,33.2,3
690,2019.12.12 09:35:19,91,13.3,57.831,10.75,33.2,3
699,2019.12.12 09:30:20,91,13.2,51.807,10.625,33.2,3
708,2019.12.12 09:25:19,91,13.5,51.004,10.625,33.2,3
717,2019.12.12 09:20:18,91,13,55.823,10.563,33.2,3
726,2019.12.12 09:15:17,91,13.2,50.201,10.563,33.2,3
735,2019.12.12 09:10:16,91,13.5,49.799,10.5,33.2,3
744,2019.12.12 09:05:16,91,13,49.398,10.375,33.2,3
753,2019.12.12 09:00:15,91,13.5,50.201,10.375,33.2,3
762,2019.12.12 08:55:15,91,13.1,49.799,10.188,33.2,3
771,2019.12.12 08:50:14,90,12.9,51.807,10.313,33.2,3
780,2019.12.12 08:45:13,90,12.8,54.618,10.063,33.2,3
789,2019.12.12 08:40:12,90,12.5,51.406,10.125,33.2,3
798,2019.12.12 08:35:11,90,12.3,49.799,10,33.2,3
807,2019.12.12 08:30:11,90,12.3,52.209,10.063,33.2,3
816,2019.12.12 08:25:10,89,11.9,51.406,9.875,33.2,3
825,2019.12.12 08:20:10,89,11.9,50.602,10,33.2,3
834,2019.12.12 08:15:09,89,11.9,46.586,9.875,33.2,3
843,2019.12.12 08:10:09,89,11.5,54.217,9.875,33.2,3
852,2019.12.12 08:05:08,89,11.2,46.586,10,33.2,3
861,2019.12.12 08:00:07,89,11.1,48.594,10,33.2,3
870,2019.12.12 07:55:07,88,10.7,52.209,9.875,33.2,3
