,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
8,2020.01.12 13:48:12,92,16.3,80.309,9.938,33.2,6
16,2020.01.12 13:41:57,80,17.5,79.537,10.063,33.2,6
25,2020.01.12 13:36:57,79,17.5,81.467,10,33.2,6
34,2020.01.12 13:31:56,92,17,81.081,10.125,33.2,6
42,2020.01.12 13:06:44,86,15.7,84.556,9.938,33.2,6
51,2020.01.12 13:01:43,92,16,80.309,9.875,33.2,6
60,2020.01.12 12:56:43,92,16.6,81.853,10,33.2,6
69,2020.01.12 12:51:42,92,16.3,81.853,9.75,33.2,6
78,2020.01.12 12:46:41,92,16.1,80.695,9.875,33.2,6
87,2020.01.12 12:41:40,92,16.2,82.239,9.875,33.2,6
96,2020.01.12 12:36:40,91,15,81.853,9.625,33.2,6
105,2020.01.12 12:31:39,91,14.8,80.695,9.875,33.2,6
114,2020.01.12 12:26:38,91,14.1,80.309,9.75,33.2,6
123,2020.01.12 12:21:37,91,14.7,82.625,9.625,33.2,6
132,2020.01.12 12:16:37,91,15.3,83.398,9.5,33.2,6
141,2020.01.12 12:11:36,91,15.5,80.309,9.438,33.2,6
150,2020.01.12 12:06:35,91,14.5,81.467,9.313,33.2,6
158,2020.01.12 12:01:34,91,14.9,80.695,9.313,33.2,6
167,2020.01.12 11:56:34,91,15.2,81.853,9.188,33.2,6
176,2020.01.12 11:51:33,91,15.1,81.853,9.063,33.2,6
185,2020.01.12 11:46:33,91,14.2,78.764,9.25,33.2,6
194,2020.01.12 11:41:31,91,14,83.012,9.125,33.2,6
203,2020.01.12 11:36:31,91,14,81.081,8.938,33.2,6
212,2020.01.12 11:31:30,91,13.6,80.309,9,33.2,6
221,2020.01.12 11:26:30,91,13.8,82.625,8.938,33.2,6
224,2020.01.11 14:39:09,91,13.1,73.152,8.438,33.2,6
233,2020.01.11 14:34:08,91,13.7,73.152,8.438,33.2,6
242,2020.01.11 14:29:07,91,15,73.152,8.438,33.2,6
251,2020.01.11 14:24:07,91,15.8,73.152,8.438,33.2,6
260,2020.01.11 14:19:06,91,15.7,73.152,8.438,33.2,6
269,2020.01.11 14:14:05,89,15.9,73.152,8.438,33.2,6
278,2020.01.11 14:09:05,91,16.1,73.152,8.438,33.2,6
287,2020.01.11 14:04:04,86,16.4,73.152,8.438,33.2,6
295,2020.01.11 13:59:03,75,16.7,73.152,8.438,33.2,6
304,2020.01.11 13:54:02,77,15.4,73.152,8.438,33.2,6
313,2020.01.11 13:49:02,80,15.7,73.152,8.438,33.2,6
322,2020.01.11 13:44:01,73,17.4,73.152,8.438,33.2,6
331,2020.01.11 13:39:00,80,17,73.152,8.438,33.2,6
340,2020.01.11 13:34:00,68,17.3,73.152,8.438,33.2,6
349,2020.01.11 13:28:59,71,17,73.152,8.438,33.2,6
358,2020.01.11 13:23:58,59,18.6,73.152,8.438,33.2,6
367,2020.01.11 13:18:58,71,18.1,73.152,8.438,33.2,6
376,2020.01.11 13:13:58,68,17,73.152,8.438,33.2,6
386,2020.01.11 13:08:56,77,16.5,73.152,8.438,33.2,6
395,2020.01.11 13:03:55,73,16.9,73.152,8.438,33.2,6
404,2020.01.11 12:58:54,80,16,73.152,8.438,33.2,6
413,2020.01.11 12:53:54,85,16.7,73.152,8.438,33.2,6
422,2020.01.11 12:48:53,89,15.8,73.152,8.438,33.2,6
431,2020.01.11 12:43:52,86,14.9,73.152,8.438,33.2,6
440,2020.01.11 12:38:51,91,14.7,73.152,8.438,33.2,6
449,2020.01.11 12:33:51,91,14,73.152,8.438,33.2,6
458,2020.01.11 12:28:50,91,13.6,73.152,8.438,33.2,6
