,Date/Time,Air Moisture,Air Temperature,Soil Moisture,Soil Temperature,Unnamed: 5,pole_no
23,2019.12.30 23:43:28,88.0,5.5,22.989,6.938,33.2,1
85,2019.12.30 22:58:28,88.0,6.2,4.598,7.25,33.2,1
99,2019.12.30 22:48:27,88.0,6.8,13.793,7.313,33.2,1
113,2019.12.30 22:38:28,88.0,7.0,4.598,7.375,33.2,1
146,2019.12.30 22:13:27,88.0,7.1,9.195,7.375,33.2,1
159,2019.12.30 22:03:28,88.0,7.1,13.793,7.5,33.2,1
166,2019.12.30 21:58:28,88.0,7.2,9.195,7.438,33.2,1
173,2019.12.30 21:53:27,88.0,7.3,4.598,7.313,33.2,1
227,2019.12.30 21:13:28,88.0,7.4,4.598,7.75,33.2,1
234,2019.12.30 21:08:27,88.0,7.5,4.598,7.625,33.2,1
308,2019.12.30 20:13:28,88.0,7.5,4.598,8.0,33.2,1
315,2019.12.30 20:08:27,88.0,7.3,4.598,8.125,33.2,1
329,2019.12.30 19:58:28,88.0,7.8,13.793,7.875,33.2,1
342,2019.12.30 19:48:28,88.0,8.2,4.598,8.125,33.2,1
349,2019.12.30 19:43:27,88.0,8.5,13.793,8.125,33.2,1
377,2019.12.30 19:23:28,88.0,8.8,4.598,8.5,33.2,1
384,2019.12.30 19:18:27,88.0,8.4,4.598,8.562999999999999,33.2,1
412,2019.12.30 18:58:27,88.0,10.1,4.598,8.687999999999999,33.2,1
419,2019.12.30 18:53:27,89.0,11.7,4.598,8.687999999999999,33.2,1
426,2019.12.30 18:48:27,89.0,11.8,4.598,8.687999999999999,33.2,1
433,2019.12.30 18:43:28,89.0,11.4,4.598,8.937999999999999,33.2,1
440,2019.12.30 18:38:28,88.0,10.7,4.598,8.75,33.2,1
447,2019.12.30 18:33:27,88.0,10.7,13.793,9.0,33.2,1
482,2019.12.30 18:08:27,89.0,11.1,9.195,9.062999999999999,33.2,1
563,2019.12.30 17:08:28,84.0,14.9,18.391,10.0,33.2,1
591,2019.12.30 16:48:27,63.0,18.1,4.598,10.312999999999999,33.2,1
597,2019.12.30 16:43:28,60.0,18.3,4.598,10.437999999999999,33.2,1
638,2019.12.30 16:13:26,51.0,20.1,13.793,10.625,33.2,1
651,2019.12.30 16:03:26,47.0,21.0,13.793,10.875,33.2,1
682,2019.12.30 15:38:26,37.0,23.6,9.195,10.812999999999999,33.2,1
696,2019.12.30 15:28:25,36.0,26.2,9.195,11.062999999999999,33.2,1
717,2019.12.30 15:13:26,44.0,22.6,4.598,11.25,33.2,1
724,2019.12.30 15:08:25,42.0,22.8,4.598,11.187999999999999,33.2,1
744,2019.12.30 14:53:26,45.0,20.9,32.184,11.312999999999999,33.2,1
752,2019.12.30 14:48:25,50.0,21.5,9.195,11.25,33.2,1
758,2019.12.30 14:43:25,40.0,23.5,13.793,11.125,33.2,1
764,2019.12.30 14:38:25,46.0,21.8,9.195,11.437999999999999,33.2,1
772,2019.12.30 14:33:24,40.0,22.5,13.793,11.437999999999999,33.2,1
785,2019.12.30 14:23:24,38.0,23.2,9.195,11.312999999999999,33.2,1
792,2019.12.30 14:18:25,32.0,24.5,4.598,11.312999999999999,33.2,1
799,2019.12.30 14:13:24,29.0,25.3,9.195,11.437999999999999,33.2,1
806,2019.12.30 14:08:24,38.0,23.3,18.391,11.437999999999999,33.2,1
812,2019.12.30 14:03:24,32.0,24.2,18.391,11.5,33.2,1
831,2019.12.30 13:48:24,32.0,24.9,4.598,11.437999999999999,33.2,1
838,2019.12.30 13:43:24,40.0,22.1,4.598,11.25,33.2,1
845,2019.12.30 13:38:24,27.0,26.3,32.184,11.312999999999999,33.2,1
865,2019.12.30 13:23:24,30.0,26.8,22.989,11.125,33.2,1
872,2019.12.30 13:18:24,24.0,28.9,36.782,10.937999999999999,33.2,1
878,2019.12.30 13:13:24,24.0,28.7,13.793,10.812999999999999,33.2,1
885,2019.12.30 13:08:24,32.0,24.9,32.184,10.875,33.2,1
892,2019.12.30 13:03:24,29.0,28.2,18.391,10.75,33.2,1
900,2019.12.30 12:58:23,29.0,28.2,13.793,10.562999999999999,33.2,1
906,2019.12.30 12:53:23,26.0,27.7,18.391,10.5,33.2,1
913,2019.12.30 12:48:23,40.0,22.4,13.793,10.375,33.2,1
926,2019.12.30 12:38:23,29.0,27.0,18.391,10.0,33.2,1
933,2019.12.30 12:33:23,35.0,23.4,18.391,9.812999999999999,33.2,1
940,2019.12.30 12:28:23,27.0,29.8,27.586,9.812999999999999,33.2,1
947,2019.12.30 12:23:23,27.0,28.1,32.184,9.437999999999999,33.2,1
954,2019.12.30 12:18:23,29.0,26.4,22.989,9.125,33.2,1
961,2019.12.30 12:13:22,34.0,23.8,18.391,9.062999999999999,33.2,1
968,2019.12.30 12:08:23,21.0,32.5,18.391,9.0,33.2,1
989,2019.12.30 11:53:22,21.0,30.2,18.391,8.312999999999999,33.2,1
1002,2019.12.30 11:43:22,29.0,29.6,32.184,8.0,33.2,1
