,Date/Time,Air Moisture,Air Temperature,Soil Moisture,Soil Temperature,Unnamed: 5,pole_no
3,2019.12.30 23:57:33,88.0,5.6,71.206,6.938,33.2,5
11,2019.12.30 23:52:32,88.0,5.5,73.152,7.063,33.2,5
17,2019.12.30 23:47:32,88.0,5.5,68.482,7.125,33.2,5
25,2019.12.30 23:42:26,88.0,5.6,73.152,7.125,33.2,5
30,2019.12.30 23:37:25,88.0,5.8,70.428,7.125,33.2,5
37,2019.12.30 23:32:25,88.0,5.9,68.093,7.188,33.2,5
44,2019.12.30 23:27:25,88.0,6.0,68.872,7.25,33.2,5
52,2019.12.30 23:22:23,88.0,6.4,66.926,7.313,33.2,5
58,2019.12.30 23:17:23,88.0,6.6,69.65,7.313,33.2,5
65,2019.12.30 23:12:21,88.0,6.8,69.65,7.375,33.2,5
72,2019.12.30 23:07:23,88.0,6.6,66.148,7.375,33.2,5
79,2019.12.30 23:02:20,88.0,6.5,70.817,7.375,33.2,5
86,2019.12.30 22:57:19,88.0,6.4,70.817,7.5,33.2,5
94,2019.12.30 22:52:18,88.0,6.4,69.65,7.5,33.2,5
101,2019.12.30 22:47:17,88.0,6.5,70.039,7.563,33.2,5
107,2019.12.30 22:42:17,88.0,6.9,67.315,7.5,33.2,5
114,2019.12.30 22:37:16,88.0,6.9,70.428,7.563,33.2,5
121,2019.12.30 22:32:16,88.0,7.0,68.872,7.625,33.2,5
127,2019.12.30 22:27:15,88.0,6.8,71.206,7.625,33.2,5
134,2019.12.30 22:22:14,88.0,7.0,72.374,7.625,33.2,5
140,2019.12.30 22:17:13,88.0,7.2,67.315,7.625,33.2,5
147,2019.12.30 22:12:13,88.0,7.2,70.817,7.688,33.2,5
153,2019.12.30 22:07:12,88.0,7.2,70.428,7.75,33.2,5
160,2019.12.30 22:02:11,88.0,7.1,69.26100000000001,7.813,33.2,5
167,2019.12.30 21:57:10,88.0,7.2,68.482,7.813,33.2,5
174,2019.12.30 21:52:10,88.0,7.2,70.817,7.875,33.2,5
181,2019.12.30 21:47:09,88.0,7.3,68.093,7.813,33.2,5
188,2019.12.30 21:42:09,88.0,7.3,68.872,7.813,33.2,5
195,2019.12.30 21:37:08,88.0,7.5,66.53699999999999,8.0,33.2,5
201,2019.12.30 21:32:07,88.0,7.4,68.872,7.938,33.2,5
208,2019.12.30 21:27:06,88.0,7.4,71.595,8.0,33.2,5
216,2019.12.30 21:22:05,88.0,7.6,70.428,8.062999999999999,33.2,5
221,2019.12.30 21:17:05,88.0,7.7,67.315,8.062999999999999,33.2,5
228,2019.12.30 21:12:04,88.0,7.4,70.428,8.125,33.2,5
235,2019.12.30 21:07:03,88.0,7.5,68.482,8.187999999999999,33.2,5
242,2019.12.30 21:02:03,88.0,7.7,69.26100000000001,8.187999999999999,33.2,5
248,2019.12.30 20:57:02,88.0,7.6,71.206,8.312999999999999,33.2,5
255,2019.12.30 20:52:02,88.0,7.3,70.039,8.25,33.2,5
262,2019.12.30 20:47:01,88.0,7.7,68.872,8.312999999999999,33.2,5
